1;"指向怪物.wav"
2;"指向NPC.wav"
3;"召回幻兽.wav"
4;"学习技能.wav"
5;"选择NPC.wav"
6;"送花.wav"
7;"升级.wav"
8;"切换地图.wav"
9;"其它升级.wav"
10;"精练失败.wav"
11;"精练成功.wav"
12;"见到BOSS.wav"
13;"喝药.wav"
14;"传送.wav"
15;"出征幻兽.wav"
16;"open.wav"
17;"NPC对话框.wav"
18;"deathman.wav"
19;"back.mp3"
20;"装备.wav"
23;"星魔剑"
26;"高级星魔剑"
27;"高级风斩"
28;"高级飞天连斩"
29;"高级斗志抑扬"
30;"高级地裂爆斩"
31;"飞天连斩"
32;"斗志抑扬"
37;"体力药"
41;"满经验球"
45;"果子"
48;"电浆药水"
118;"选择怪物"
124;"怪物对象"
135;"BOSS"
138;"伤害显示"
139;"空幻兽对象"
164;"武器"
189;"头盔"
214;"手镯"
239;"项链"
264;"衣服"
289;"战鞋"
292;"月光宝盒"
295;"银矿"
298;"金矿"
301;"中级战斗力石"
304;"高级战斗力石"
313;"魔魂之心"
316;"中级经验石"
325;"幻魔之心"
332;"灵魂王"
341;"幻魔晶石"
350;"魔魂晶石"
359;"灵魂晶石"
362;"高级经验石"
365;"月光宝盒增强版"
374;"999朵白玫瑰"
378;"空经验球"
381;"战魂晶石"
384;"战魂之心"
385;"99朵白玫瑰"
